gene_id	gene_biotype	log2FC	qval
INSL4	protein_coding	1.12801011643847	7.8066248926548e-10
CSF1	protein_coding	-1.1132327545825	7.90002151355047e-10
IER3	protein_coding	0.621949633047627	7.97369194387292e-10
SMTN	protein_coding	-1.24114951267196	8.0484996482382e-10
MSTRG.28103	NA	-1.72689014411596	8.15775217687797e-10
RPS6KA3	protein_coding	0.5261259549418	8.18558773659835e-10
PLS3	protein_coding	-0.402940067551517	8.21123669263451e-10
TRAF2	protein_coding	-0.738155568802089	8.52330148621982e-10
AXIN2	protein_coding	1.4288922715939	8.59147070942902e-10
ENSG00000279407	TEC	-1.05453292473618	8.65214130095542e-10
GLA	protein_coding	0.403581958115238	8.66781148824831e-10
DARS1	protein_coding	-0.586573426423204	8.76544808478355e-10
KRT8	protein_coding	0.772457462084986	8.8646867896401e-10
PRR15	protein_coding	3.02330728482238	9.11669057513698e-10
PTPRS	protein_coding	-0.7506652464738	9.43878851253069e-10
MSTRG.24775	NA	-0.526781423170789	9.43878851253069e-10
HADHB	protein_coding	-0.408789171313723	9.56217117806944e-10
CHROMR	lncRNA	-0.979483844795321	9.56290008190636e-10
ANXA8L1	protein_coding	-2.64783340014111	9.71170277262901e-10
SLC9A2	protein_coding	1.39166903310746	9.94686897591703e-10
MSTRG.6949	NA	-0.729187472320551	1.00318310029473e-09
TMEM132A	protein_coding	-0.68643376351684	1.00499036032414e-09
BVES	protein_coding	-1.18696645070481	1.01559437993797e-09
MSTRG.17865	NA	-0.490900553633833	1.04137179903327e-09
TMEM51	protein_coding	-0.544890531883144	1.04637332763019e-09
BASP1	protein_coding	-0.765797224651171	1.06619253619341e-09
CASP8	protein_coding	-0.48529677245299	1.06770860437009e-09
MSTRG.3899	NA	1.15879951313058	1.07731580112905e-09
TNFAIP2	protein_coding	-0.681727298390064	1.09258885506755e-09
SYNPO2	protein_coding	1.09750676124015	1.11761507938453e-09
MUC5B	protein_coding	2.92304583990024	1.12652424407979e-09
TSEN34	protein_coding	-0.432324856078513	1.16368876860188e-09
BLOC1S1	protein_coding	0.464454996772929	1.16983097701552e-09
SLC4A1AP	protein_coding	-0.456178404243255	1.19418980993298e-09
MEIS3	protein_coding	0.667985308784075	1.20671906372142e-09
ENSG00000237212	lncRNA	3.43236585781908	1.28810654907532e-09
MCF2L	protein_coding	2.11787386356533	1.30937436306814e-09
ACTN4	protein_coding	-0.423953170800958	1.32202241765614e-09
MSTRG.2716	NA	-3.38249409304179	1.32752303265147e-09
MSTRG.22996	NA	1.5075459395534	1.35691428568945e-09
MSTRG.29198	NA	-0.478303024498303	1.3713239393233e-09
SLC20A1	protein_coding	-0.532925392501197	1.38263681176315e-09
MSTRG.29770	NA	0.554458695284489	1.45875109073511e-09
SIX1	protein_coding	-0.857146589642351	1.48061538015189e-09
MAP3K20	protein_coding	-0.555627967934633	1.48175291123813e-09
LBP	protein_coding	-3.31045301157711	1.55625707513504e-09
MSTRG.1780	NA	-1.21356641503773	1.56621384792419e-09
MSTRG.17794	NA	-0.556001902610638	1.57483581550351e-09
MSTRG.15538	NA	-1.17145700692228	1.57564613909271e-09
KRIT1	protein_coding	-0.517411550208604	1.58486846944897e-09
NES	protein_coding	0.698035870679062	1.59340018605692e-09
SFMBT2	protein_coding	-1.23595122202119	1.63500490524228e-09
MSTRG.1615	NA	0.571451711331521	1.71065706359218e-09
GNG12	protein_coding	-0.400557628233734	1.74016893465719e-09
HNF1A-AS1	lncRNA	2.03290209398117	1.75745564111327e-09
MPP1	protein_coding	-1.36793275543734	1.75880336990174e-09
MSTRG.9153	NA	-0.598444153978267	1.78023652107779e-09
CCDC51	protein_coding	-0.555410445283247	1.79505110564481e-09
MSTRG.15435	NA	0.967675946540052	1.83850759143522e-09
DDX1	protein_coding	-0.413276632521408	1.85425580062662e-09
MSTRG.5749	NA	1.88071323988712	1.93957614272479e-09
PDCD1LG2	protein_coding	-3.05648820874024	1.97299126517996e-09
PDLIM2	protein_coding	-0.737487303026377	1.973790629636e-09
MSTRG.14857	NA	0.973265096969543	1.97622111201448e-09
BOP1	protein_coding	-0.490725783385695	1.98555035688993e-09
BCAS4	protein_coding	-0.682453077100314	2.05052410858304e-09
DSC2	protein_coding	1.90159721158636	2.05052410858304e-09
MSTRG.17379	NA	3.26933678547838	2.05073675144052e-09
HSPA4L	protein_coding	-0.524808791306667	2.11234111443536e-09
MEMO1	protein_coding	-0.446652818549648	2.12091379525397e-09
RPS27L	protein_coding	-0.397246692377224	2.18789204798188e-09
SCO2	protein_coding	-0.686013101120753	2.19141636581917e-09
GTF2IP1	transcribed_unprocessed_pseudogene	0.542311687474269	2.19611303149136e-09
LHX4	protein_coding	1.59150705367135	2.22157382617074e-09
TDG	protein_coding	0.477907372553072	2.2927329162772e-09
F7	protein_coding	2.80560809280602	2.31737383228757e-09
PTCD3	protein_coding	-0.52682387323326	2.38924280228102e-09
PRMT2	protein_coding	-0.459458697729004	2.42554499355367e-09
OGDH	protein_coding	-0.484015948984079	2.43915767879371e-09
KCNJ3	protein_coding	3.7284307315299	2.46739159925557e-09
IFFO2	protein_coding	-0.832388815509216	2.63304501782203e-09
SGCA	protein_coding	1.53510640895303	2.64614885442445e-09
UGT2B15	protein_coding	1.97837578014103	2.65167209151881e-09
MSTRG.6363	NA	0.61234742140004	2.65763133340512e-09
MSTRG.14800	NA	0.821608638419664	2.74940388257045e-09
LINC01305	lncRNA	1.89913939567331	2.74940388257045e-09
LRPPRC	protein_coding	-0.392331767154638	2.76659706354576e-09
MRPL4	protein_coding	-0.492913214939352	2.78695847611778e-09
MSTRG.20760	NA	0.668771107579144	2.87165286183858e-09
MT2A	protein_coding	-1.05519475340166	2.90831274183409e-09
PLSCR4	protein_coding	1.01658828007891	2.9223805655347e-09
TP53INP2	protein_coding	1.20353136791985	2.92521547651032e-09
APPL2	protein_coding	0.615133420214561	2.97168305703153e-09
PLEKHO2	protein_coding	-0.733170753908154	3.0053434539235e-09
WDR75	protein_coding	-0.580768862053692	3.04538253934004e-09
MAPK3	protein_coding	-0.624957049344671	3.07516780679928e-09
CCNL1	protein_coding	0.52260127880558	3.08279050837831e-09
CARHSP1	protein_coding	0.460152663976856	3.08486844238752e-09
MSTRG.11700	NA	0.613643704504055	3.17164790443072e-09
LINC02987	lncRNA	-0.674317000592487	3.22298401028679e-09
MSTRG.24629	NA	-1.20122082322232	3.30104605559005e-09
ANXA4	protein_coding	0.655966762258511	3.37074340578691e-09
KRT18	protein_coding	0.910324834316488	3.54949430244063e-09
MSTRG.4238	NA	0.912783836614996	3.57112917989746e-09
TRIP12	protein_coding	-0.479602224274776	3.58397643147028e-09
CHGB	protein_coding	0.918092323134441	3.58397643147028e-09
POLR1B	protein_coding	-0.78825565174968	3.59711637600201e-09
PRR15-DT	lncRNA	3.06539061612032	3.61216445794918e-09
GTF2IP4	transcribed_processed_pseudogene	0.751217339104828	3.61216445794918e-09
MAGI3	protein_coding	0.766466309773185	3.68252659219946e-09
SCP2	protein_coding	0.459901084603058	3.70799568246695e-09
TTC39B	protein_coding	1.17496896787182	3.72798475325459e-09
MRPS9	protein_coding	-0.483656181916857	3.73565012416723e-09
MRPL30	protein_coding	-0.549160869634636	3.78234987881713e-09
MSTRG.240	NA	1.143361380739	3.80061408026097e-09
MSTRG.9458	NA	0.457309610224502	3.96372208936623e-09
MSTRG.21750	NA	-0.479192808742077	4.21018024575287e-09
CAD	protein_coding	-0.542276638893615	4.22904616794763e-09
CKB	protein_coding	0.669462083109824	4.25032340462407e-09
GABRA5	protein_coding	-2.68380630617379	4.31240398901667e-09
CASC19	lncRNA	0.7427950116095	4.35899836558424e-09
ATIC	protein_coding	-0.419908640375328	4.37246094911198e-09
TPM2	protein_coding	-0.47166756362223	4.38688032838283e-09
NFKBIE	protein_coding	-0.954602682896814	4.45108715789011e-09
METTL21A	protein_coding	-0.610433746672682	4.53832381172208e-09
LAMA4	protein_coding	-2.26153395847035	4.62401832757961e-09
MANF	protein_coding	-0.463622081101855	4.63944069199322e-09
MSTRG.4920	NA	-2.74971987356474	4.64173347206131e-09
KIAA1549L	protein_coding	-1.23785447295148	4.71802302513729e-09
CAP1	protein_coding	-0.414320205472612	4.87248587753529e-09
IGFN1	protein_coding	-2.77961278614387	4.92894911008819e-09
SSR3	protein_coding	-0.5252344819254	4.96584972119648e-09
VWA5B2	protein_coding	2.40235873745185	4.98385674043492e-09
IGSF3	protein_coding	0.708580232229168	4.98949741938426e-09
ACTB	protein_coding	-0.433802530213653	4.98949741938426e-09
AFAP1L2	protein_coding	-0.883710332887728	5.23144184552039e-09
LINC02747	lncRNA	1.08195621805788	5.24595807862119e-09
CMTM4	protein_coding	0.568935771659214	5.25661395471561e-09
ATOSA	protein_coding	0.826313826205802	5.27041132013402e-09
MSTRG.17212	NA	-2.08734189607522	5.27162841380779e-09
TF	protein_coding	2.33792386917413	5.30650045060823e-09
MSTRG.16507	NA	-0.591537752817157	5.4409318255006e-09
MSTRG.11668	NA	0.892076284707048	5.52202783376355e-09
MSTRG.18827	NA	-0.939186454829061	5.55194583167559e-09
LRRC8D-DT	lncRNA	-1.27835526671932	5.67401371533259e-09
MSTRG.3713	NA	-1.73570106471123	5.73671695569969e-09
TOX	protein_coding	-3.90888614367775	6.18498906894049e-09
PPIG	protein_coding	-0.43771865093024	6.24267561130806e-09
MSTRG.27780	NA	0.584387477644468	6.24267561130806e-09
SNAPC1	protein_coding	-0.48083333724105	6.25625759068281e-09
MSTRG.3334	NA	0.430829669031415	6.29525269825157e-09
KLF4	protein_coding	0.791285751409632	6.29525269825157e-09
IRS1	protein_coding	-0.6816123286499	6.37799460689088e-09
C2orf69	protein_coding	-0.607344633464472	6.39851479171962e-09
VEGFC	protein_coding	-2.34438206244811	6.45546822991233e-09
LINC01588	lncRNA	-1.31147304117887	6.51472913475124e-09
NTRK3	protein_coding	-3.32689833144458	6.77779013756517e-09
PMEPA1	protein_coding	-1.16664401825672	6.77779013756517e-09
MYOM3	protein_coding	-0.618362916813164	6.91696761321629e-09
AHR	protein_coding	0.808530838925915	6.91696761321629e-09
RHNO1	protein_coding	0.503588004841118	7.19707277911339e-09
MARCKSL1	protein_coding	0.436531445018273	7.28582928796326e-09
TMEM171	protein_coding	-2.77250444560481	7.28641534833026e-09
MSTRG.25268	NA	3.06645317229111	7.42077329522787e-09
ADAM23	protein_coding	-3.30618675291449	7.43712438546918e-09
MSTRG.7866	NA	-1.11491483033932	7.47406887641799e-09
PRDM1	protein_coding	-1.59053705329268	7.51420246198216e-09
COA6	protein_coding	-0.421986782745942	7.54186269186888e-09
MSTRG.4650	NA	0.957383316436441	7.67564842143947e-09
PPP1R18	protein_coding	-0.604969564573957	8.08111447678049e-09
MSTRG.15537	NA	0.495262929557398	8.22849073541054e-09
PSMD14	protein_coding	-0.379327493276432	8.37539267832583e-09
RPS27A	protein_coding	-0.420363709903544	8.4172013701606e-09
MSTRG.1319	NA	1.79607807532073	8.46627301807954e-09
LCN2	protein_coding	1.8244156838013	8.59271588935482e-09
MSTRG.19265	NA	0.60692276177081	8.86035588213301e-09
PYROXD1	protein_coding	0.763912148383161	8.93451262474621e-09
FKBP11	protein_coding	-0.555267212699603	8.96539222501652e-09
GPC1	protein_coding	-0.559321220835072	8.96539222501652e-09
ISG20	protein_coding	0.911975513421159	8.97393956121004e-09
MSTRG.3481	NA	0.575680800245413	9.12607183839933e-09
FSD1	protein_coding	-1.34826526964133	9.14394355136844e-09
MSTRG.14187	NA	0.985257225381208	9.20219209056478e-09
CNKSR2	protein_coding	0.995706732084916	9.23541809729105e-09
MSTRG.11070	NA	-0.715713799941624	9.26411772910102e-09
MSTRG.18950	NA	1.51429577297846	9.42775132777226e-09
LGALS8	protein_coding	0.507382150433768	9.49451231881804e-09
ZDHHC8	protein_coding	-0.851534221320014	9.5653803184762e-09
MSTRG.13337	NA	0.582014735697611	1.0031065822275e-08
NPM3	protein_coding	-0.506171751896316	1.00461492808368e-08
PLLP	protein_coding	1.5886236393308	1.04626212802884e-08
DAGLB	protein_coding	-0.660894750541476	1.05277680941778e-08
BCS1L	protein_coding	-0.528951269485099	1.05294013198745e-08
MSTRG.28645	NA	3.69442704591881	1.06276985362706e-08
RUVBL2	protein_coding	-0.382606378762377	1.07166042624566e-08
PTPRF	protein_coding	-0.877806565177156	1.08626400301452e-08
RAB3IP	protein_coding	0.865794892207252	1.08626400301452e-08
MSTRG.22498	NA	3.2626141093902	1.08626400301452e-08
MSL3	protein_coding	-0.527503945213696	1.08626400301452e-08
FGFR3	protein_coding	2.10183448590295	1.08810410353813e-08
RPL12	protein_coding	-0.388240406869665	1.08810410353813e-08
GALNT18	protein_coding	-1.94904421749064	1.09728696057115e-08
GJD3-AS1	lncRNA	-0.612941258677696	1.10439122338684e-08
CPS1	protein_coding	-2.63142822560369	1.18906346192771e-08
MSTRG.10405	NA	2.75819517487935	1.19145284968335e-08
EEPD1	protein_coding	-0.749858452675977	1.19315533759865e-08
MSTRG.7462	NA	0.702454233406693	1.21923654885356e-08
TCHH	protein_coding	3.20453614359567	1.23759699640983e-08
ZFYVE27	protein_coding	0.554940560319555	1.31188133193013e-08
MOB1A	protein_coding	-0.45425174452216	1.31858062210849e-08
SLC6A9	protein_coding	-1.04516011073024	1.33086854255457e-08
CAPN2	protein_coding	-0.540905075655983	1.37147065729976e-08
KCNG1	protein_coding	-1.62740490510361	1.38137647081185e-08
VWA7	protein_coding	1.73722945493125	1.46692834013964e-08
FAHD1	protein_coding	-0.638426509192094	1.46692834013964e-08
MT-CYB	protein_coding	0.618337276820985	1.46692834013964e-08
SNHG32	protein_coding	-0.455497536139545	1.47956083599061e-08
MSTRG.8273	NA	-0.985655063758356	1.52106272665698e-08
LINC01948	lncRNA	3.26968248572692	1.52883846648229e-08
XPO1	protein_coding	-0.456156053230171	1.5292381311667e-08
MSTRG.14645	NA	0.575072337417018	1.54607329401903e-08
ARHGEF10	protein_coding	-0.556743846885065	1.54726192213044e-08
GADD45A	protein_coding	-0.745094247998499	1.5497277307962e-08
MAP4	protein_coding	-0.422983915961717	1.55793151481134e-08
ENSG00000289697	protein_coding	2.92337154148018	1.56349112418764e-08
RPS18	protein_coding	-0.428896718700713	1.57043151544128e-08
USO1	protein_coding	-0.40989384053855	1.57043151544128e-08
AP1M2	protein_coding	0.628184694120654	1.61219904948415e-08
MSTRG.27854	NA	-0.583468926399364	1.61270376613517e-08
PREPL	protein_coding	-0.430659130997964	1.61741255494576e-08
MSTRG.6208	NA	-0.671633085718852	1.63805704380332e-08
MSTRG.16188	NA	-3.38074915884258	1.63805704380332e-08
ERCC6L	protein_coding	-0.426811027947879	1.66311666676822e-08
ENSG00000278266	lncRNA	1.04059910014016	1.67740394152929e-08
BCL11B	protein_coding	1.24241809427363	1.67740394152929e-08
PTPRK	protein_coding	0.736572701757078	1.68467169251195e-08
TAP1	protein_coding	-0.599237490741596	1.71153784176672e-08
PSRC1	protein_coding	-0.613038511260378	1.72723176921179e-08
CPEB2	protein_coding	0.561027721356446	1.74647964598574e-08
TRIP10	protein_coding	-0.485576768352121	1.76860125174226e-08
KTN1	protein_coding	-0.402530167785027	1.78772408618584e-08
SPR	protein_coding	-0.435364243164494	1.79503392416535e-08
NPR3	protein_coding	-2.69845669333942	1.79503392416535e-08
SCD	protein_coding	-0.803573679336619	1.79639771859568e-08
MANSC1	protein_coding	1.20994777394594	1.84488770918569e-08
MSTRG.14119	NA	-0.433972781114599	1.90043537799337e-08
POLR3G	protein_coding	-0.77524431220993	1.91724398712094e-08
RAB26	protein_coding	0.844833328991901	1.93649063072378e-08
MTIF2	protein_coding	-0.505494375898936	1.93691349706501e-08
CHAC2	protein_coding	-0.582794731258849	1.98067690522315e-08
GPRASP2	protein_coding	-0.627419827462088	2.00983695610675e-08
MSTRG.20143	NA	0.845562712533475	2.03034693239504e-08
EGR2	protein_coding	2.56396080080772	2.03114549747317e-08
NFE2L3	protein_coding	-1.12403890284672	2.10053311851441e-08
MSTRG.13971	NA	1.16896901462087	2.13883425901956e-08
MSTRG.7999	NA	0.730174154364313	2.1589162310382e-08
CNTNAP1	protein_coding	-0.797020205364917	2.1874926244125e-08
CPT1A	protein_coding	0.844172181835459	2.22903930245784e-08
ENTREP3	protein_coding	-0.611111542436095	2.23524842336686e-08
HAO1	protein_coding	3.18390240764304	2.25656208962652e-08
MSTRG.27244	NA	2.01056374567651	2.30857340001262e-08
EPB41	protein_coding	0.791834744034607	2.41793296794756e-08
SUSD5	protein_coding	-1.77077780070451	2.41793296794756e-08
HCFC1R1	protein_coding	-0.480785313755842	2.42313255145087e-08
PDLIM5	protein_coding	0.557520619566612	2.43120255277063e-08
MAIP1	protein_coding	-0.596766929750998	2.48659609093923e-08
PM20D2	protein_coding	-0.614907156637548	2.49839346058e-08
FADS3	protein_coding	-0.783932953175534	2.52696207750254e-08
LYZ	protein_coding	2.96164094444552	2.63002130881345e-08
GAS7	protein_coding	-2.93546002834043	2.68648871378702e-08
MSTRG.25970	NA	-0.877526923040022	2.76757936497583e-08
MSTRG.9640	NA	-0.453991438250726	2.77068369189011e-08
TMPO-AS1	lncRNA	0.877329502273634	2.89274004008816e-08
CARMIL1	protein_coding	0.523787203493382	2.90241711400319e-08
MSTRG.29962	NA	2.11588709054841	3.0035998027631e-08
KYNU	protein_coding	-0.794969055713534	3.07482725337128e-08
SAMD11	protein_coding	-1.06724423795655	3.15615164973411e-08
C10orf90	protein_coding	-2.48327305046709	3.24451886884791e-08
ENSG00000279117	TEC	4.95014242257809	3.26342335630338e-08
PELI2	protein_coding	1.53777810217716	3.32878244354518e-08
ENSG00000248187	lncRNA	-2.22729251164829	3.33711044005626e-08
MSTRG.5267	NA	0.588415568876671	3.36361918297181e-08
ATG16L1	protein_coding	-0.562850022225891	3.36884263040041e-08
MSTRG.17275	NA	-0.426134846366556	3.43856093666497e-08
MSTRG.7886	NA	0.990507958942202	3.49422328308097e-08
ARHGAP18	protein_coding	0.943060920249342	3.60490078305032e-08
IER2	protein_coding	0.647426997763249	3.63052560536735e-08
TBC1D4	protein_coding	-0.78940829723679	3.66870956778449e-08
CNTNAP3B	protein_coding	1.29257153385256	3.81688362025595e-08
CXADR	protein_coding	0.874835970666238	3.88301094545718e-08
GDA	protein_coding	2.09903647663539	3.97310574911913e-08
ENSG00000277534	lncRNA	0.617276873788292	3.99647328538067e-08
MSTRG.18203	NA	-0.490508529130731	3.99647328538067e-08
MSTRG.14764	NA	-1.17791984300678	4.03137972030371e-08
AK5	protein_coding	-1.61997473318653	4.03955780839057e-08
MYO1A	protein_coding	2.50373608150839	4.04619690279934e-08
TGFB1I1	protein_coding	-1.04406800941869	4.0550173647065e-08
MSTRG.17997	NA	-0.472493881461653	4.12123369579052e-08
MSTRG.22266	NA	0.982368466724787	4.13059838423248e-08
ZSWIM4	protein_coding	-0.703168006917782	4.14074358466733e-08
ARHGAP26	protein_coding	0.846185308786164	4.17579970037546e-08
TUFT1	protein_coding	-0.574847896148602	4.23124186984237e-08
MLF1	protein_coding	-0.707160338467104	4.23622599173266e-08
TNFAIP8	protein_coding	-0.858739006871371	4.24218930666688e-08
MSTRG.17071	NA	-1.20908898211518	4.2445633939442e-08
SLC39A10	protein_coding	-0.667420735256681	4.2579376647837e-08
MSTRG.18918	NA	-0.570381304498636	4.27192955251737e-08
RAP1GAP2	protein_coding	0.955190151172996	4.27526483911746e-08
PAQR6	protein_coding	0.765593835590863	4.30236988434111e-08
PAPSS2	protein_coding	-0.813531696070462	4.34257303996884e-08
MYH9	protein_coding	-0.527387845264414	4.36114188156139e-08
CPNE1	protein_coding	-0.463451800178941	4.41641743311527e-08
MISP	protein_coding	0.723502905859054	4.47429632214072e-08
BNC1	protein_coding	-2.71992605374922	4.53457733293795e-08
ABCC2	protein_coding	0.517353886601777	4.55771718476735e-08
MSTRG.17077	NA	-0.636317801922424	4.59804269314998e-08
CACNA1D	protein_coding	1.21646763541202	4.60737629680804e-08
SELENOP	protein_coding	2.25837681858961	4.61212620974705e-08
MSTRG.14546	NA	0.633269110230948	4.70931910767347e-08
NFIL3	protein_coding	-0.586182074323732	4.83038707127857e-08
CLMN	protein_coding	1.0472781701946	4.89742695102586e-08
TFCP2L1	protein_coding	0.861282484979011	5.1487180529979e-08
MGST2	protein_coding	0.445356818909871	5.20275047553155e-08
MSTRG.29263	NA	1.72913452009956	5.21054757465322e-08
PLAAT2	protein_coding	2.91636441639895	5.53298324181958e-08
MSTRG.29196	NA	-0.414426328611188	5.6229184646666e-08
SOWAHB	protein_coding	3.07761369060826	5.6229184646666e-08
HNF1A	protein_coding	0.664585232108811	5.65216922715469e-08
MSTRG.16432	NA	0.605755909808395	5.67067337830063e-08
SERPINA6	protein_coding	2.03818375170522	5.73306568231296e-08
SNHG12	lncRNA	-0.76929971926838	5.73360370336937e-08
SGTB	protein_coding	-0.576038564466923	5.78567065396035e-08
HOMER3	protein_coding	-0.681187762481205	5.79341018638641e-08
POLR2C	protein_coding	0.385893804391164	5.81179774954917e-08
RASA1	protein_coding	-0.53872764247156	5.81179774954917e-08
ADGRG2	protein_coding	-1.86287296390208	5.81179774954917e-08
MSTRG.26307	NA	-2.86338476893201	5.86236996484034e-08
SUCLG1	protein_coding	-0.399357507122295	5.88608599785736e-08
MSTRG.2827	NA	0.766112870052082	6.31286151847428e-08
ENSG00000230615	lncRNA	-2.14353111414815	6.40212567325597e-08
EIF2B4	protein_coding	-0.49578258819024	6.53035465229877e-08
TINAG	protein_coding	2.19352284192916	6.56154568659354e-08
GPN1	protein_coding	-0.40327446230344	6.67211157324884e-08
MSTRG.4516	NA	1.81885623991749	6.79474775347759e-08
MSTRG.28782	NA	-0.433637632395383	6.80071316308655e-08
EEF1B2	protein_coding	-0.523074852667816	6.82635234745394e-08
RARB	protein_coding	-2.01015066997227	6.82635234745394e-08
MSTRG.17585	NA	-1.0813434219106	6.85628594364914e-08
NSMCE4A	protein_coding	0.468230502925817	6.86801738048439e-08
FRAS1	protein_coding	1.10358194316736	6.89079224252935e-08
MSTRG.18752	NA	-0.391700664180236	6.91044844269297e-08
CFHR1	protein_coding	1.9405601846702	7.00768157761856e-08
GOLGA2P5	transcribed_unprocessed_pseudogene	0.733088095126727	7.33960070430094e-08
C14orf132	protein_coding	-1.5280769625271	7.56903073987978e-08
HSPA5	protein_coding	-0.390357065621201	7.60077831339877e-08
LRRC8D	protein_coding	-0.857171398449247	7.69694226529105e-08
CENPA	protein_coding	-0.487674410269376	7.78109987228046e-08
JRK	protein_coding	-0.759479317492261	7.79100113194638e-08
ECI2	protein_coding	-0.421275965810716	7.97438572089941e-08
RPS6KA5	protein_coding	-1.12276777868324	7.9928326497455e-08
LIFR	protein_coding	-1.71417420027696	8.00660691566743e-08
MSTRG.19335	NA	1.84116522844312	8.01663257239075e-08
MSTRG.24444	NA	-3.23948514640608	8.21076846870942e-08
BMF	protein_coding	1.79229247084636	8.30061422810387e-08
EPRS1	protein_coding	-0.415722616665767	8.48288636029421e-08
TPX2	protein_coding	-0.351377810097726	8.56446593198183e-08
CDC26	protein_coding	-0.451167403786607	8.6942794298435e-08
SLC9A4	protein_coding	3.31352846287843	8.76192675357437e-08
C1orf112	NA	-0.595734190775806	9.03735758162574e-08
SETBP1-DT	lncRNA	2.77377204863303	9.20071070464922e-08
MSTRG.4016	NA	-0.975403759856689	9.22280444010908e-08
DRD1	protein_coding	-1.83954895840597	9.34465745352737e-08
MFF	protein_coding	-0.60425101034394	9.46165886624828e-08
MSTRG.6653	NA	-0.671806536291011	9.61685536541489e-08
SLC41A1	protein_coding	-0.452808710089406	9.70249687831595e-08
DUSP7	protein_coding	-0.628109290315978	9.73238915200168e-08
PRR7-AS1	lncRNA	-1.77051768251343	9.73238915200168e-08
SEPTIN2	protein_coding	-0.364641009735427	9.81121549772296e-08
MSTRG.25125	NA	0.924724414554115	1.02345350450049e-07
IFT172	protein_coding	-0.737357861796858	1.02538641099261e-07
CD63	protein_coding	0.348284099421746	1.0269039698177e-07
CUTA	protein_coding	-0.480490634755317	1.03701162307313e-07
MSTRG.19036	NA	3.55265805338969	1.04408195024723e-07
CRYL1	protein_coding	0.753133739916966	1.06617077102596e-07
NMI	protein_coding	-0.588373204258833	1.11317608508967e-07
ASAP2	protein_coding	-0.583315529057614	1.12906430791928e-07
SNHG29	lncRNA	-0.350187372970103	1.19492711017532e-07
MMP2	protein_coding	-2.83602575389634	1.21541557829465e-07
NR3C1	protein_coding	0.565454504250362	1.2369471941198e-07
SLC41A2	protein_coding	1.22417583994778	1.26631886660816e-07
PART1	lncRNA	-3.40737330771866	1.27067888949367e-07
LINC00887	lncRNA	1.29192095547681	1.27527264871756e-07
MSTRG.19088	NA	2.154134708797	1.29471673219226e-07
HSD17B14	protein_coding	-1.0177844557081	1.30001334089241e-07
HDAC5	protein_coding	1.19598666887612	1.33280362837342e-07
MSTRG.13303	NA	-0.41762833838492	1.33303028225591e-07
PCYT1B	protein_coding	3.13941986094284	1.33973303664456e-07
BLVRA	protein_coding	0.438984959204794	1.349363836071e-07
MSTRG.12451	NA	-0.399153128630024	1.35600258237302e-07
MSTRG.18935	NA	-0.881289646588431	1.39135907057622e-07
PPP1R7	protein_coding	-0.451241829968083	1.41914585013016e-07
HEY1	protein_coding	1.49619297365449	1.43656657396525e-07
TSPAN18	protein_coding	-2.26790490036452	1.47388061359487e-07
GLUL	protein_coding	0.987472234830653	1.52672839453172e-07
THYN1	protein_coding	-0.593279079308426	1.54366389295157e-07
HAT1	protein_coding	-0.371118253849025	1.55959494889227e-07
PRKCE	protein_coding	-1.14752241118754	1.5780820139995e-07
PLCL2	protein_coding	0.575160990762267	1.58312739373644e-07
RETREG2	protein_coding	-0.559824200643236	1.59738317409999e-07
NCL	protein_coding	-0.553039299404203	1.60339668302288e-07
CYP4F11	protein_coding	1.86279978446232	1.6400653770558e-07
MSTRG.19187	NA	-0.551934296689444	1.64192513628517e-07
MSTRG.23905	NA	3.26342488355064	1.66963685963909e-07
ERCC3	protein_coding	-0.399783671004162	1.68664559781692e-07
EVA1C	protein_coding	-1.42838680695764	1.6910609823469e-07
CEND1	protein_coding	-3.02470888965929	1.69256558361531e-07
EEF1G	protein_coding	-0.369690873809711	1.79025586609715e-07
HSPA1A	protein_coding	-1.22035196919598	1.79739801791842e-07
PLPPR1	protein_coding	2.73516807136457	1.79776475453411e-07
AMOTL1	protein_coding	0.837356009056956	1.79887860517254e-07
SORCS2	protein_coding	-1.40963713004786	1.79991391857322e-07
LY6K	protein_coding	-2.37587247839372	1.82344041427916e-07
VLDLR	protein_coding	-1.67844483187356	1.83520241099437e-07
PTGDS	protein_coding	2.30280490115258	1.84158166443393e-07
DNAH10OS	lncRNA	1.18868283128766	1.88749420722994e-07
S1PR3	protein_coding	-1.39447104652967	1.89407472593571e-07
MSTRG.7872	NA	1.02587287831456	1.91030529624466e-07
MSTRG.29021	NA	0.575339584057073	1.91030529624466e-07
SIAH1	protein_coding	0.805386616956548	1.93799635170234e-07
MSTRG.16912	NA	0.654604860690003	1.93809276707793e-07
MSTRG.22693	NA	-1.8851265063376	1.94925765516852e-07
DDX60L	protein_coding	-0.879306325457255	1.94925765516852e-07
MSTRG.3344	NA	-0.62363587768499	1.95203156872429e-07
MOCS1	protein_coding	-1.45178319283216	1.96878704525489e-07
NIBAN2	protein_coding	-0.412148187548975	1.97558925084259e-07
MSTRG.6119	NA	1.06603984288352	1.98578032973454e-07
MSTRG.18092	NA	-0.953924255640428	1.99794124140647e-07
MRRF	protein_coding	-0.450519846577703	2.05428988515559e-07
ARHGAP22	protein_coding	-1.48679120709946	2.09852188452817e-07
IL17RB	protein_coding	1.00784824763107	2.10392481369009e-07
TDRP	protein_coding	0.446818243196789	2.11412717631018e-07
